# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   91  ,  University of Birmingham  , UK , 2008    
   92  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2016    
   92  ,  Weizmann Institute of Science  , Israel , 2013    
   92  ,  University of Groningen  , Netherlands , 2013    
   92  ,  Lund University  , Sweden , 2004    
   92  ,  University of Birmingham  , UK , 2007    
   92  ,  University of Warwick  , UK , 2015    
   92  ,  University of Strasbourg  , France , 2005    
   93  ,  Catholic University of Leuven  , Belgium , 2016    
   93  ,  University of Freiburg  , Germany , 2006    
   93  ,  University of Göttingen  , Germany , 2010    
   93  ,  University of Bonn  , Germany , 2010    
   93  ,  Aarhus University  , Denmark , 2008    
   93  ,  Ecole Normale Supérieure de Paris  , France , 2005    
   93  ,  Technion - Israel Institute of Technology  , Israel , 2017    
   93  ,  Weizmann Institute of Science  , Israel , 2012    
   93  ,  University of Rome - La Sapienza  , Italy , 2004    
   93  ,  University of Leiden  , Netherlands , 2016    
   93  ,  Moscow State University  , Russia , 2017    
   93  ,  Lund University  , Sweden , 2003    
   93  ,  Stockholm University  , Sweden , 2005    
   93  ,  University of Birmingham  , UK , 2004    
   94  ,  University of Freiburg  , Germany , 2007    
   94  ,  University of Bonn  , Germany , 2014    
   94  ,  University of Bonn  , Germany , 2011    
   94  ,  Hebrew University of Jerusalem  , Israel , 2003    
   94  ,  University of Birmingham  , UK , 2009    
   95  ,  University of Basel  , Switzerland , 2017    
   95  ,  Free University of Berlin  , Germany , 2003    
   95  ,  University of Göttingen  , Germany , 2017    
   95  ,  Humboldt University of Berlin  , Germany , 2004    
   95  ,  Hebrew University of Jerusalem  , Israel , 2018    
   95  ,  University of Strasbourg  , France , 2014    
   96  ,  Catholic University of Leuven  , Belgium , 2014    
   96  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2014    
   96  ,  University of Basel  , Switzerland , 2018    
   96  ,  University of Basel  , Switzerland , 2003    
   96  ,  University of Freiburg  , Germany , 2008    
   96  ,  University of Strasbourg  , France , 2006    
   97  ,  University of Bonn  , Germany , 2015    
   97  ,  University of Bonn  , Germany , 2008    
   97  ,  Aarhus University  , Denmark , 2009    
   97  ,  University of Rome - La Sapienza  , Italy , 2005    
   97  ,  Lund University  , Sweden , 2008    
   97  ,  Lund University  , Sweden , 2007    
   97  ,  Stockholm University  , Sweden , 2004    
   97  ,  University of Sheffield  , UK , 2011    
   97  ,  University of Strasbourg  , France , 2013    
   98  ,  University of Bonn  , Germany , 2009    
   98  ,  Aarhus University  , Denmark , 2010    
   98  ,  VU University Amsterdam  , Netherlands , 2015    
   98  ,  University of Birmingham  , UK , 2005    
   99  ,  University of Gent  , Belgium , 2003    
   99  ,  University of Freiburg  , Germany , 2012    
   99  ,  University of Göttingen  , Germany , 2018    
   99  ,  University of Bonn  , Germany , 2007    
   99  ,  University of Bonn  , Germany , 2004    
   99  ,  Ecole Normale Supérieure de Paris  , France , 2006    
   99  ,  Lund University  , Sweden , 2005    
   99  ,  Cardiff University  , UK , 2017    
   99  ,  University of Birmingham  , UK , 2010    
   99  ,  University of Strasbourg  , France , 2007    
   100  ,  University of Freiburg  , Germany , 2013    
   100  ,  University of Frankfurt am Main  , Germany , 2011    
   100  ,  University of Rome - La Sapienza  , Italy , 2006    
   100  ,  VU University Amsterdam  , Netherlands , 2014    
   101-150  ,  Catholic University of Leuven  , Belgium , 2013    
   101-150  ,  Catholic University of Leuven  , Belgium , 2012    
   102-150  ,  Catholic University of Leuven  , Belgium , 2011    
   101-150  ,  Catholic University of Leuven  , Belgium , 2010    
   101-151  ,  Catholic University of Leuven  , Belgium , 2009    
   101-151  ,  Catholic University of Leuven  , Belgium , 2008    
   102-150  ,  Catholic University of Leuven  , Belgium , 2007    
   102-150  ,  Catholic University of Leuven  , Belgium , 2006    
   101-151  ,  University of Gent  , Belgium , 2009    
   101-151  ,  University of Gent  , Belgium , 2008    
