# University Ranking Results - www.universityrankings.ch
# Ranking: Leiden
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   157  ,  University Bordeaux I - Sciences Technologie  , France , 2014    
   157  ,  University of Bordeaux  , France , 2015    
   158  ,  Université Libre de Bruxelles  , Belgium , 2017    
   158  ,  University of Montpellier II  , France , 2015    
   158  ,  University of Sheffield  , UK , 2016    
   159  ,  Catholic University of Louvain  , Belgium , 2018    
   159  ,  Aarhus University  , Denmark , 2015    
   159  ,  Aarhus University  , Denmark , 2013    
   159  ,  University of Nottingham  , UK , 2017    
   160  ,  University of Bern  , Switzerland , 2014    
   160  ,  University of Copenhagen  , Denmark , 2018    
   160  ,  University of Plymouth  , UK , 2016    
   160  ,  University of Sheffield  , UK , 2015    
   160  ,  Bangor University  , UK , 2017    
   161  ,  University of Erlangen-Nürnberg  , Germany , 2015    
   161  ,  University of Twente  , Netherlands , 2016    
   161  ,  University of Manchester  , UK , 2014    
   162  ,  University of Heidelberg  , Germany , 2013    
   162  ,  University of Aberdeen  , UK , 2012    
   162  ,  University of Lancaster  , UK , 2017    
   162  ,  University of Nottingham  , UK , 2016    
   163  ,  University of Gent  , Belgium , 2017    
   163  ,  University of Münster  , Germany , 2016    
   163  ,  University of Sussex  , UK , 2013    
   164  ,  University Bordeaux I - Sciences Technologie  , France , 2012    
   164  ,  Delft University of Technology  , Netherlands , 2013    
   164  ,  University of Birmingham  , UK , 2015    
   164  ,  University of Sussex  , UK , 2014    
   165  ,  Catholic University of Louvain  , Belgium , 2017    
   165  ,  Karolinska Institute  , Sweden , 2012    
   166  ,  University of Würzburg  , Germany , 2018    
   166  ,  University of Göttingen  , Germany , 2014    
   166  ,  University of Nice-Sophia Antipolis  , France , 2017    
   166  ,  University of Liverpool  , UK , 2013    
   167  ,  Free University of Berlin  , Germany , 2013    
   167  ,  University of Stuttgart  , Germany , 2015    
   167  ,  University René Descartes (Paris V)  , France , 2012    
   167  ,  University of Nice-Sophia Antipolis  , France , 2016    
   167  ,  University of Bath  , UK , 2017    
   168  ,  University Paris Sud (Paris XI)  , France , 2013    
   168  ,  University of Leicester  , UK , 2017    
   168  ,  University of Strasbourg  , France , 2012    
   169  ,  University of Graz  , Austria , 2015    
   169  ,  Humboldt University of Berlin  , Germany , 2013    
   169  ,  University of Konstanz  , Germany , 2018    
   169  ,  University of Montpellier I  , France , 2014    
   170  ,  Medical University of Innsbruck  , Austria , 2013    
   170  ,  University of Bordeaux  , France , 2018    
   170  ,  University of Natural Resources and Life Sciences  , Austria , 2016    
   171  ,  University of Heidelberg  , Germany , 2012    
   171  ,  Ecole Polytechnique  , France , 2014    
   171  ,  University of Nice-Sophia Antipolis  , France , 2013    
   172  ,  University of Lancaster  , UK , 2015    
