# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   83  ,  University of Amsterdam  , Netherlands , 2013    
   83  ,  University of Groningen  , Netherlands , 2018    
   83  ,  University of Durham  , UK , 2015    
   83  ,  University of Durham  , UK , 2012    
   84  ,  University of Freiburg  , Germany , 2016    
   84  ,  University Pierre et Marie Curie (Paris VI)  , France , 2012    
   85  ,  University of Gent  , Belgium , 2014    
   85  ,  Middle East Technical University  , Turkey , 2015    
   85  ,  University of Durham  , UK , 2011    
   85  ,  University of St. Andrews  , UK , 2012    
   86  ,  Free University of Berlin  , Germany , 2014    
   86  ,  Utrecht University  , Netherlands , 2017    
   86  ,  Uppsala University  , Sweden , 2018    
   86  ,  London School of Economics  , UK , 2011    
   86  ,  University of St. Andrews  , UK , 2016    
   87  ,  Technical University of München  , Germany , 2014    
   87  ,  Uppsala University  , Sweden , 2019    
   87  ,  Uppsala University  , Sweden , 2012    
   87  ,  University of Manchester  , UK , 2011    
   87  ,  RWTH Aachen University  , Germany , 2019    
   88  ,  Free University of Berlin  , Germany , 2018    
   88  ,  Technical University of München  , Germany , 2012    
   88  ,  University of Maastricht  , Netherlands , 2016    
   88  ,  University of Glasgow  , UK , 2017    
   88  ,  Royal Holloway - University of London  , UK , 2011    
   89  ,  University of Tübingen  , Germany , 2019    
   89  ,  University of Tübingen  , Germany , 2017    
   89  ,  University of Groningen  , Netherlands , 2013    
   89  ,  Lund University  , Sweden , 2011    
   89  ,  University of Zurich  , Switzerland , 2013    
   90  ,  University of Gent  , Belgium , 2015    
   90  ,  University of Helsinki  , Finland , 2018    
   90  ,  Lund University  , Sweden , 2016    
   90  ,  University of Southampton  , UK , 2011    
   90  ,  University of Zurich  , Switzerland , 2019    
   90  ,  University of Zurich  , Switzerland , 2011    
   90  ,  Charité - University Medicine Berlin  , Germany , 2019    
   91  ,  University of Helsinki  , Finland , 2017    
   91  ,  University of Helsinki  , Finland , 2012    
   91  ,  University of Warwick  , UK , 2018    
   92  ,  Technical University of Berlin  , Germany , 2018    
   92  ,  University Paris Sud (Paris XI)  , France , 2013    
   92  ,  University of Amsterdam  , Netherlands , 2012    
   93  ,  University of Gent  , Belgium , 2013    
   93  ,  Lund University  , Sweden , 2018    
   93  ,  Uppsala University  , Sweden , 2017    
   93  ,  University of Exeter  , UK , 2016    
   93  ,  University of Glasgow  , UK , 2019    
   94  ,  University of Tübingen  , Germany , 2018    
   94  ,  Humboldt University of Berlin  , Germany , 2014    
   94  ,  University of Bonn  , Germany , 2016    
   94  ,  University College Dublin  , Ireland , 2011    
   94  ,  University of Maastricht  , Netherlands , 2017    
   94  ,  University of Glasgow  , UK , 2015    
   95  ,  University of Basel  , Switzerland , 2018    
   95  ,  University of Basel  , Switzerland , 2011    
   95  ,  University of Freiburg  , Germany , 2017    
   96  ,  University Pierre et Marie Curie (Paris VI)  , France , 2014    
   96  ,  Lund University  , Sweden , 2017    
   96  ,  University of Durham  , UK , 2017    
   97  ,  University of Durham  , UK , 2018    
   97  ,  University of Sheffield  , UK , 2016    
   98  ,  University of Basel  , Switzerland , 2017    
   98  ,  Technical University of München  , Germany , 2015    
   98  ,  Aarhus University  , Denmark , 2017    
   98  ,  University of Groningen  , Netherlands , 2014    
   98  ,  University of Maastricht  , Netherlands , 2014    
   98  ,  Lund University  , Sweden , 2019    
   98  ,  Stockholm University  , Sweden , 2015    
   98  ,  Uppsala University  , Sweden , 2015    
   98  ,  Queen Mary - University of London  , UK , 2016    
   99  ,  University of Göttingen  , Germany , 2016    
   99  ,  Humboldt University of Berlin  , Germany , 2013    
   99  ,  University of Helsinki  , Finland , 2019    
   99  ,  University of Sussex  , UK , 2012    
   100  ,  University of Bonn  , Germany , 2018    
   100  ,  University of Helsinki  , Finland , 2014    
   100  ,  Ecole Normale Supérieure de Lyon  , France , 2011    
   100  ,  University of York  , UK , 2014    
